#	start	end	rich in A	type
chr1	8	38	0.45	A
chr1	39	60	0.48	B
chr1	61	126	0.49	A
chr1	127	154	0.37	B
chr1	155	339	0.48	A
chr1	340	353	0.48	B
chr1	354	371	0.47	A
chr1	372	379	0.55	B
chr1	380	386	0.56	A
chr1	387	393	0.52	B
chr1	394	471	0.46	A
chr1	472	477	0.51	B
chr1	478	481	0.61	A
chr1	482	515	0.42	B
chr1	516	557	0.46	A
chr1	558	591	0.42	B
chr1	592	597	0.50	A
chr1	598	621	0.41	B
chr1	622	633	0.44	A
chr1	634	637	0.53	B
chr1	638	657	0.43	A
chr1	658	667	0.42	B
chr1	668	670	0.59	A
chr1	671	673	0.56	B
chr1	674	689	0.43	A
chr1	690	706	0.39	B
chr1	707	709	0.57	A
chr1	710	779	0.37	B
chr1	780	786	0.46	A
chr1	787	844	0.37	B
chr1	845	863	0.41	A
chr1	864	873	0.42	B
chr1	874	875	0.77	A
chr1	876	891	0.41	B
chr1	892	894	0.57	A
chr1	895	902	0.45	B
chr1	903	905	0.61	A
chr1	906	914	0.44	B
chr1	915	915	nan	A
chr1	916	919	0.53	B
chr1	920	956	0.42	A
chr1	957	1002	0.38	B
chr1	1003	1009	0.45	A
chr1	1010	1092	0.36	B
chr1	1093	1111	0.48	A
chr1	1112	1116	0.50	B
chr1	1117	1124	0.47	A
chr1	1125	1128	0.59	B
chr1	1129	1181	0.42	A
chr1	1182	1201	0.42	B
chr1	1202	1210	0.37	A
chr1	1213	1434	0.02	B
chr1	1436	1476	0.28	A
chr1	1489	1493	0.53	B
chr1	1494	1521	0.43	A
chr1	1522	1534	0.45	B
chr1	1535	1571	0.49	A
chr1	1572	1599	0.42	B
chr1	1600	1605	0.54	A
chr1	1606	1606	nan	B
chr1	1607	1628	0.45	A
chr1	1629	1657	0.41	B
chr1	1658	1659	0.84	A
chr1	1660	1670	0.44	B
chr1	1671	1685	0.45	A
chr1	1686	1714	0.40	B
chr1	1715	1721	0.46	A
chr1	1722	1722	nan	B
chr1	1723	1743	0.41	A
chr1	1744	1747	0.49	B
chr1	1748	1750	0.59	A
chr1	1751	1780	0.42	B
chr1	1781	1794	0.43	A
chr1	1795	1797	0.59	B
chr1	1798	1811	0.45	A
chr1	1812	1827	0.46	B
chr1	1828	1836	0.46	A
chr1	1837	1850	0.43	B
chr1	1851	1852	0.76	A
chr1	1853	1925	0.36	B
chr1	1926	1933	0.42	A
chr1	1934	1981	0.36	B
chr1	1982	1984	0.54	A
chr1	1985	1987	0.54	B
chr1	1988	2081	0.44	A
chr1	2082	2115	0.43	B
chr1	2116	2133	0.45	A
chr1	2134	2145	0.45	B
chr1	2146	2148	0.62	A
chr1	2149	2186	0.38	B
chr1	2187	2189	0.59	A
chr1	2190	2201	0.41	B
chr1	2202	2204	0.59	A
chr1	2205	2228	0.42	B
chr1	2229	2248	0.45	A
chr1	2249	2255	0.47	B
chr1	2256	2298	0.45	A
chr1	2299	2302	0.57	B
chr1	2303	2304	0.92	A
chr1	2305	2309	0.56	B
chr1	2310	2317	0.49	A
chr1	2318	2332	0.45	B
chr1	2333	2363	0.44	A
chr1	2364	2445	0.40	B
chr1	2446	2453	0.48	A
chr1	2454	2465	0.47	B
chr1	2466	2471	0.51	A
chr1	2472	2492	0.40	B
chr1	2493	2493	nan	A
