chr	promoter_start	promoter_end	strand	ensembl_gene_id
1	845815	847015	+	ENSG00000230699
1	839214	840414	+	ENSG00000272438
1	848551	849751	+	ENSG00000241180
1	859260	860460	+	ENSG00000187634
1	856196	857396	-	ENSG00000223764
1	866245	867445	-	ENSG00000268179
1	900877	902077	+	ENSG00000187583
1	894967	896167	+	ENSG00000187961
1	894489	895689	-	ENSG00000188976
1	917297	918497	-	ENSG00000187642
1	935352	936552	-	ENSG00000188290
1	933231	934431	-	ENSG00000272512
1	947803	949003	+	ENSG00000187608
1	954503	955703	+	ENSG00000188157
1	948373	949573	-	ENSG00000224969
1	1051541	1052741	-	ENSG00000131591
1	1009487	1010687	-	ENSG00000237330
1	1103385	1104585	+	ENSG00000198976
1	1102243	1103443	+	ENSG00000207607
1	1101484	1102684	+	ENSG00000207730
1	1103737	1104937	+	ENSG00000272141
1	1108264	1109464	+	ENSG00000162571
1	1114735	1115935	-	ENSG00000205231
1	1149318	1150518	-	ENSG00000186827
1	1141871	1143071	-	ENSG00000186891
1	1167211	1168411	-	ENSG00000078808
1	1209065	1210265	-	ENSG00000160087
1	1166629	1167829	+	ENSG00000176022
1	1181902	1183102	-	ENSG00000184163
1	1186514	1187714	-	ENSG00000260179
1	1209603	1210803	+	ENSG00000230415
1	1214816	1216016	+	ENSG00000162572
1	1259871	1261071	-	ENSG00000127054
1	1244789	1245989	-	ENSG00000131584
1	1265694	1266894	+	ENSG00000169962
1	1242947	1244147	+	ENSG00000169972
1	1259136	1260336	+	ENSG00000224051
1	1253869	1255069	-	ENSG00000240731
1	1284530	1285730	-	ENSG00000107404
1	1296957	1298157	-	ENSG00000162576
1	1310675	1311875	-	ENSG00000175756
1	1334508	1335708	-	ENSG00000221978
1	1313046	1314246	+	ENSG00000223663
1	1333902	1335102	+	ENSG00000224870
1	1342493	1343693	-	ENSG00000242485
1	1340932	1342132	-	ENSG00000264293
1	1343476	1344676	+	ENSG00000272455
1	1360508	1361708	+	ENSG00000205116
1	1354625	1355825	+	ENSG00000225905
1	1356949	1358149	-	ENSG00000235098
1	1369241	1370441	+	ENSG00000179403
1	1369753	1370953	-	ENSG00000225285
1	1384069	1385269	+	ENSG00000215915
1	1406143	1407343	+	ENSG00000160072
1	1510049	1511249	-	ENSG00000160075
1	1475633	1476833	-	ENSG00000205090
1	1509355	1510555	+	ENSG00000215014
1	1514136	1515336	+	ENSG00000236684
1	1535276	1536476	-	ENSG00000228594
1	1549795	1550995	+	ENSG00000197530
1	1550975	1552175	-	ENSG00000272106
1	1566474	1567674	+	ENSG00000189409
1	1590273	1591473	-	ENSG00000248333
1	1655566	1656766	-	ENSG00000008128
1	1677231	1678431	-	ENSG00000215790
1	1654951	1656151	+	ENSG00000227775
1	1668927	1670127	-	ENSG00000268575
1	1711696	1712896	-	ENSG00000008130
1	1822295	1823495	-	ENSG00000078369
1	1821910	1823110	+	ENSG00000231050
1	1845266	1846466	+	ENSG00000169885
1	1850512	1851712	-	ENSG00000178821
1	1935076	1936276	-	ENSG00000142609
1	1949780	1950980	+	ENSG00000187730
1	1946769	1947969	-	ENSG00000233542
1	1980909	1982109	+	ENSG00000067606
1	1981309	1982509	-	ENSG00000226969
1	2115628	2116828	-	ENSG00000182873
1	2120237	2121437	+	ENSG00000269554
1	2143959	2145159	-	ENSG00000162585
1	2145420	2146620	-	ENSG00000203301
1	2142962	2144162	+	ENSG00000234396
1	2143813	2145013	-	ENSG00000243558
1	2159134	2160334	+	ENSG00000157933
1	2322946	2324146	-	ENSG00000116151
1	2322267	2323467	+	ENSG00000157916
1	2345036	2346236	-	ENSG00000157911
1	2356419	2357619	+	ENSG00000149527
1	2424497	2425697	-	ENSG00000224387
1	2425718	2426918	-	ENSG00000229393
1	2457839	2459039	-	ENSG00000157881
1	2486078	2487278	+	ENSG00000157873
1	2461484	2462684	-	ENSG00000197921
1	2488270	2489470	-	ENSG00000238164
1	2476904	2478104	+	ENSG00000272449
1	2564281	2565481	-	ENSG00000142606
1	2516930	2518130	+	ENSG00000157870
1	2563007	2564207	+	ENSG00000237058
1	2718086	2719286	-	ENSG00000215912
1	2937046	2938246	+	ENSG00000169717
1	2984732	2985932	+	ENSG00000142611
1	3050073	3051273	-	ENSG00000226286
1	3369990	3371190	+	ENSG00000130762
1	3477154	3478354	-	ENSG00000207776
1	3527859	3529059	-	ENSG00000162591
1	3540566	3541766	+	ENSG00000158109
1	3541107	3542307	-	ENSG00000238260
1	3568084	3569284	+	ENSG00000078900
1	3569125	3570325	-	ENSG00000116213
1	3585136	3586336	-	ENSG00000227589
1	3630662	3631862	-	ENSG00000235131
1	3667962	3669162	+	ENSG00000162592
1	3688352	3689552	+	ENSG00000235169
1	3712868	3714068	-	ENSG00000130764
1	3773578	3774778	-	ENSG00000116198
1	3772845	3774045	+	ENSG00000169598
1	3816657	3817857	-	ENSG00000198912
1	3815936	3817136	+	ENSG00000236423
1	4713792	4714992	+	ENSG00000196581
1	5875819	5877019	-	ENSG00000216045
1	6050526	6051726	+	ENSG00000069424
1	6052333	6053533	-	ENSG00000131697
1	6239983	6241183	-	ENSG00000116254
1	6269249	6270449	-	ENSG00000116251
1	6264535	6265735	+	ENSG00000158286
1	6265640	6266840	-	ENSG00000226944
1	6295832	6297032	-	ENSG00000116237
1	6295300	6296500	+	ENSG00000225077
1	6303252	6304452	+	ENSG00000173673
1	6320835	6322035	-	ENSG00000158292
1	6454251	6455451	-	ENSG00000097021
1	6452615	6453815	+	ENSG00000271746
1	6483848	6485048	+	ENSG00000187017
1	6526055	6527255	-	ENSG00000215788
1	6579921	6581121	-	ENSG00000171680
1	6614395	6615595	-	ENSG00000162408
1	6606965	6608165	+	ENSG00000229519
1	6599914	6601114	+	ENSG00000253022
1	6614241	6615441	+	ENSG00000173662
