chr	start	end	is_functional	is_functional_Nut1h	is_functional_Nut10h	in_promoter	in_active_promoter	in_enhancer
17	81027504	81027726	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
4	75279228	75279450	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
6	26687121	26687343	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
1	68190934	68191156	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE
2	19428605	19428827	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
3	5036687	5036909	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE
13	74087972	74088194	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
6	4384128	4384350	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
9	130057375	130057597	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
19	15757485	15757707	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
19	18335346	18335568	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE
19	51399836	51400058	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
6	24827505	24827727	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
10	127656220	127656442	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
13	23973506	23973728	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
1	91995529	91995751	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE
11	67965856	67966078	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE
11	73846355	73846577	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE
10	85743475	85743697	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE
2	164809976	164810198	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
17	34442881	34443103	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
6	10718971	10719193	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
4	129607283	129607505	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
13	20936894	20937116	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
8	87442556	87442778	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE
13	84515884	84516106	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
10	103650046	103650268	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE
20	3874137	3874359	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE
7	77373395	77373617	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE
1	204478587	204478809	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE
10	97099015	97099237	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
7	91235215	91235437	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
12	50564209	50564431	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
3	148909798	148910020	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
2	144860051	144860273	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
10	114475946	114476168	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE
6	33222484	33222706	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE
1	66866450	66866672	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
19	9150453	9150675	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE
6	152635212	152635434	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
2	193409472	193409694	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
8	31030039	31030261	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
7	18460502	18460724	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE
1	187599839	187600061	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
1	16886261	16886483	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE
13	76146027	76146249	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
2	212429224	212429446	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
10	24577833	24578055	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
4	39168760	39168982	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1	28678862	28679084	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE
7	134530244	134530466	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE
3	190875477	190875699	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
5	99517730	99517952	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
3	183078792	183079014	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
11	86046540	86046762	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE
6	127907551	127907773	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE
1	23919165	23919387	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE
2	236233860	236234082	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE
7	149491095	149491317	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
2	170810586	170810808	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
4	147388735	147388957	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
14	71331824	71332046	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
12	110778699	110778921	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE
12	68435932	68436154	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
18	60239794	60240016	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
9	34072495	34072717	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE
2	62187109	62187331	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE
5	56790601	56790823	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE
2	118873438	118873660	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
14	71543291	71543513	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
1	113305772	113305994	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
2	191476742	191476964	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE
6	166761440	166761662	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
7	91677531	91677753	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE
17	80453803	80454025	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE
4	7708120	7708342	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE
9	92469174	92469396	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
10	120763264	120763486	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE
17	67426658	67426880	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
1	30182741	30182963	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
10	126776202	126776424	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE
18	43649571	43649793	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
2	38254070	38254292	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
7	144368632	144368854	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
17	41949735	41949957	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
12	90628294	90628516	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE
12	65028562	65028784	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE
2	30189149	30189371	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
18	68110504	68110726	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
12	64916061	64916283	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
6	100284413	100284635	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE
20	34039155	34039377	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE
9	81641301	81641523	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE
12	6616873	6617095	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE
7	115900050	115900272	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE
12	57425275	57425497	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE
3	20119900	20120122	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
20	43967915	43968137	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
3	75676154	75676376	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
7	22786215	22786437	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
6	25449473	25449695	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
3	139434610	139434832	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
3	149501644	149501866	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE
1	204494068	204494290	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE
2	109061744	109061966	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE
4	94506797	94507019	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
16	53412068	53412290	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
16	86709844	86710066	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE
10	114827396	114827618	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE
16	89508532	89508754	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
20	33896028	33896250	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE
5	110807224	110807446	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
20	50573731	50573953	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE
15	42963750	42963972	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
5	81151513	81151735	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
7	155274922	155275144	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
15	57191227	57191449	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
3	112620029	112620251	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
18	23113267	23113489	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
19	19887370	19887592	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
3	102693288	102693510	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
4	186988276	186988498	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
7	134230949	134231171	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
12	62586723	62586945	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
12	25864278	25864500	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE
10	102981397	102981619	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
13	42377227	42377449	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE
4	111019539	111019761	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
11	1598156	1598378	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
3	100183024	100183246	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE
14	65472274	65472496	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
2	43023210	43023432	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE
9	21565316	21565538	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE
