# EV_1 (62.2584)	EV_2 (25.0755)	EV_3 (9.0990)
-0.02196892273432089	0.004556335824019565	-0.017113343154243968
-0.01940958727995845	0.006207222573773545	-0.010344318129618167
-0.01848376686263294	0.004123876473898156	-0.0001353843069185727
nan	nan	nan
-0.018889601797076556	0.005983317049983251	0.004648495449954021
-0.02335414417445651	0.005092443396862647	0.0065658336139735735
-0.021614475899552822	0.007268140048997166	0.006572563892967627
-0.025350545257330926	0.005119998340160444	0.0008321871140871129
-0.025454976330993553	0.00787286438723544	-0.004829634191267855
-0.02943531530302368	0.013865191953684925	-0.00784883969923552
-0.028305517637220636	0.01636713800826091	-0.011265405540361515
-0.0296770120354378	0.016493062901372462	-0.010345690595001386
-0.029317615434275253	0.017955210555996182	-0.008066080558959254
-0.03100081890369707	0.020623025199263557	-0.009996396434590708
-0.02705767400455838	0.018031689954408247	-0.00780328480946324
-0.026248387010107902	0.015812692598527696	-0.007482829058681244
-0.02596092615168205	0.012099914612367728	-0.00435816114864938
-0.027769126976461323	0.006323250069985023	0.0011794077507893616
-0.02687773104879346	0.0016846385696212263	-0.0008461780075424766
-0.026914468059417513	-0.0013852890035885496	0.0015764809556865073
-0.02798599992229287	0.0014184483220643232	-0.00025828786619088925
-0.02962267494578764	0.0024669668049211815	-0.0003856799744676384
-0.030026347018111278	0.004202660629623034	0.0024651456954929256
-0.02637078421770673	0.0014192352646656744	-0.004175170989381891
-0.023502092381808167	-0.004649095868390866	0.00756015523803262
-0.01847737122273429	-0.01126680150861706	0.004361059126274255
-0.014189227058194542	-0.017152372094239043	0.00012065577731096636
-0.006075808827523133	-0.01718718804876633	0.011486982471689708
0.0017719040806531805	-0.02719307106132804	0.01457294522508582
0.013890167245422982	-0.039645629445003966	0.006911495722995862
0.025385805106144847	-0.036008562183793724	0.0045677814571148945
0.032459342937788474	-0.030021741856402235	-0.004489493927789433
0.03505782315376019	-0.02875128481545052	-0.010645602377812487
0.03316876152955585	-0.03372539869689902	-0.012831115173987766
0.012631078726775713	-0.04540963163790415	-0.02087292168204241
-0.005725055984122997	-0.030186252672716168	-0.012980509427205767
-0.016536952603782414	-0.013349822125784786	-0.002351576921109509
-0.02077950636955292	-0.00707713941458464	-0.006289004512770013
-0.02252471716123041	-0.009722513751562575	-0.01077448993877928
-0.0209049924475032	-0.008669413522401866	-0.007391449815369435
-0.024909997937917417	-0.009191338608665875	-0.005531074527467268
-0.024122951180003075	-0.004197525974990869	-0.0033132809390851274
-0.025420148681105256	-0.003484581537897442	-0.0023110855179771655
-0.023561176694628354	-0.0007799368320927459	-0.0047267369535576725
