# EV_1 (9.0895)	EV_2 (3.4674)	EV_3 (-6.8482)
-0.008005535257355555	0.01196251230616079	0.02833715834593402
-0.008972068455043032	0.00584835619987387	0.036760719486272214
-0.011962717432245213	-0.0009802639627567843	0.03511529747491621
nan	nan	nan
-0.013339067646330454	0.0025637487926297303	0.03601861447826074
-0.01785329196458549	0.01437125429575336	0.03166835241071943
-0.012674553584250816	0.022559492703332115	0.03127378682933033
-0.014793115566789986	0.006929443146642452	0.028182735891797726
-0.017337274141118023	-0.0006565265020805622	0.029164238767153135
-0.026369900539989388	-0.003936049656494731	0.029472217743556576
-0.02562479105144007	0.014664657849197717	0.03585649029365202
-0.02283526227986201	0.021398443854909223	0.033446099665793344
-0.022322872293094626	0.02681403901318828	0.03630137229118807
-0.019286274881850904	0.027043763418314923	0.038029768816838214
-0.021890397624401307	0.027306627934399197	0.03739057324181616
-0.023812067180214443	0.023349583868851335	0.031102236946048398
-0.02625375454958337	0.01930459434669985	0.031609274354768305
-0.025714705097275553	0.017472823483305915	0.031609956461268005
-0.02245448511937819	0.013196088404684048	0.029870345524072615
-0.023075059531169693	0.009960527590688467	0.026742372572564423
-0.021296271795721796	0.007576520816219737	0.03136266768982919
-0.028194039762905944	0.014002081144374075	0.029060080713008692
-0.02645838556546432	0.018104649732131127	0.03019409133388933
-0.025628409026685846	0.00044941803506821573	0.027241780870578346
-0.019951420739066167	0.00385754389369616	0.03348110229094542
-0.01972215133065493	-0.006873414103618381	0.03394283576775615
-0.012304174581472722	-0.0008651025788570764	0.03987273967552887
-0.005516137495949687	-0.014901196896039205	0.04123925657769863
-0.003376438984422514	-0.006370168971255744	0.03569412230026942
-0.0005155647690140096	-0.012008324700750939	0.029199907702938607
0.0055261199500486	-0.0011876135626234918	0.03030152867895794
0.021425694532162427	0.008231850551356435	0.031601943273543875
0.025349633825662986	-0.011284805162947477	0.029545806840496805
0.02686182968485948	-0.021505245401887668	0.02543922280094386
0.006178112582073854	-0.02720444316372465	0.027451343278741644
-0.006514669637090905	-0.014673838732836576	0.032712134139743006
-0.016795866529629243	-0.006069330853047256	0.029500343496978804
-0.01925864254841404	-0.005075155406962597	0.026988211307915698
-0.022955645630345287	-0.002080282595692595	0.023378575500749513
-0.021871016074165923	-0.006269678017602462	0.027189459092780165
-0.022453032279112606	0.0012709308344668532	0.03269496159242663
-0.02080145623472324	0.0012384831784897597	0.03559824456915757
-0.02023410683777479	0.009298698868987609	0.03637082524292751
-0.020809697225545508	0.004332743670218693	0.034701644296895436
-0.020112436070249016	0.013101125875617198	0.030320215779097204
-0.021747863163700882	0.01779080852788298	0.03278445462542702
-0.020861851814394997	0.012536101114649402	0.03438512023342511
-0.02266622441364663	0.010766665890818997	0.03905143831273429
-0.01860489667892485	0.0016000989690903127	0.03607474147224991
-0.016850716437848686	0.00078466133461794	0.03334676870217183
-0.014714876816435785	-0.0028830979363552046	0.029818496272781086
-0.017623461646506612	-0.0035169680973297195	0.029000319267632857
-0.012065608403715788	-0.008977933854028132	0.028687448044689264
-0.014448444844345223	-0.01648000352401697	0.029582100655616998
-0.004494958454798527	-0.03224332967797402	0.028132469943963935
-0.002311820005456466	-0.033570645855734854	0.030167936154839675
0.0048748156336234	-0.04367086401884501	0.02871551243649506
0.0051329251623785516	-0.035276934926726254	0.02888831745930037
0.016062547008157887	-0.04323812647864993	0.02655458173164244
0.01866209494859604	-0.044939992478475486	0.02272787872856376
0.024062756304181948	-0.042792110682847176	0.020801865033421046
0.01049241895022851	-0.034397547865538385	0.027664936008156234
0.0031023077439690013	-0.014495498656247354	0.035739803511967094
-0.004282364601612651	-0.010036611963554662	0.03515342873854939
-0.009891475843688477	-0.018644366333863707	0.029651946483126367
-0.012626426421547163	-0.027454877492783317	0.02538424527679465
-0.017685319411276292	-0.025533910427479684	0.02422249831239706
-0.016241114648620276	-0.024346537880614753	0.02485225959185687
-0.019370792740343652	-0.016470504101286115	0.024553559146177625
-0.018610544324351705	-0.012029172513471277	0.02567673716062158
-0.015446302197120766	0.003581266727378154	0.028212123271067535
-0.011043108969012819	0.0073089312325019876	0.027316612440306004
-0.01168372338096197	0.01159723532930431	0.03152348419645319
