#	start	end	rich in A	type
chr17	1	29	0.50	A
chr17	30	35	0.52	B
chr17	36	54	0.52	A
chr17	55	64	0.52	B
chr17	65	89	0.50	A
chr17	90	90	nan	B
chr17	91	92	1.00	A
chr17	93	95	0.64	B
chr17	96	96	nan	A
chr17	97	155	0.43	B
chr17	156	157	0.90	A
chr17	158	158	nan	B
chr17	159	200	0.44	A
chr17	201	209	0.49	B
chr17	210	210	nan	A
chr17	211	266	0.21	B
chr17	267	308	0.46	A
chr17	309	339	0.46	B
chr17	340	340	nan	A
chr17	341	341	nan	B
chr17	342	342	nan	A
chr17	343	345	0.67	B
chr17	349	493	0.47	A
chr17	494	550	0.39	B
chr17	551	588	0.45	A
chr17	589	594	0.46	B
chr17	595	633	0.45	A
chr17	634	635	0.89	B
chr17	636	636	nan	A
chr17	637	637	nan	B
chr17	638	638	nan	A
chr17	639	642	0.50	B
chr17	643	648	0.53	A
chr17	649	649	nan	B
chr17	650	664	0.48	A
chr17	665	701	0.39	B
chr17	702	702	nan	A
chr17	703	703	nan	B
chr17	704	708	0.59	A
chr17	709	709	nan	B
chr17	710	714	0.60	A
chr17	715	722	0.57	B
chr17	723	812	0.53	A
