#	start	end	score	density
1	1	26	8.0	0.727
2	27	50	4.0	0.583
3	51	58	6.0	0.411
4	59	96	7.0	1.129
5	97	139	8.0	0.605
6	140	168	10.0	1.136
7	169	228	10.0	1.13
8	229	251	10.0	1.102
9	252	266	10.0	1.188
10	267	295	10.0	1.137
11	296	323	10.0	1.105
12	324	334	5.0	1.137
13	335	339	10.0	1.07
14	340	354	10.0	1.132
15	355	368	5.0	1.068
16	369	395	10.0	1.078
17	396	414	10.0	1.193
18	415	443	10.0	1.092
19	444	451	10.0	1.253
20	452	465	5.0	1.129
21	466	472	10.0	1.193
22	473	496	6.0	1.128
23	497	504	10.0	1.306
24	505	518	10.0	1.17
25	519	532	6.0	1.125
26	533	537	8.0	0.676
27	538	544	10.0	1.31
28	545	563	10.0	1.187
29	564	579	10.0	1.135
30	580	592	6.0	1.225
31	593	616	10.0	1.001
32	617	623	7.0	1.145
33	624	635	5.0	1.232
34	636	651	10.0	1.201
35	652	663	7.0	1.007
36	664	683	7.0	1.091
37	684	694	7.0	1.121
38	695	702	5.0	1.142
39	703	714	10.0	1.233
40	715	719	5.0	1.072
41	720	729	10.0	1.259
42	730	745	10.0	1.173
43	746	758	8.0	1.182
44	759	768	9.0	1.116
45	769	792	10.0	1.146
46	793	805	9.0	1.204
47	806	838	8.0	1.126
48	839	859	10.0	1.21
49	860	880	8.0	1.111
50	881	904	10.0	0.903
51	905	918	10.0	1.222
52	919	945	7.0	1.178
53	946	959	8.0	1.233
54	960	964	10.0	1.186
55	965	1002	10.0	1.195
56	1003	1030	9.0	1.113
57	1031	1096	10.0	1.184
58	1097	1107	10.0	1.113
59	1108	1124	8.0	1.022
60	1125	1161	10.0	0.819
61	1162	1239	10.0	0.095
62	1240	1251	7.0	1.161
63	1252	1260	5.0	0.491
64	1261	1275	9.0	0.608
65	1276	1285	7.0	0.97
66	1286	1302	10.0	0.774
67	1303	1336	10.0	0.95
68	1337	1437	6.0	1.198
69	1438	1446	7.0	0.935
70	1447	1460	5.0	0.364
71	1461	1483	10.0	0.817
72	1484	1525	7.0	0.41
73	1526	1540	10.0	0.934
74	1541	1552	9.0	1.068
75	1553	1577	10.0	1.111
76	1578	1594	9.0	1.105
77	1595	1599	7.0	1.007
78	1600	1606	10.0	0.946
79	1607	1622	10.0	1.135
80	1623	1633	10.0	1.124
81	1634	1648	10.0	1.162
82	1649	1654	8.0	1.039
83	1655	1660	10.0	0.849
84	1661	1670	10.0	1.146
85	1671	1693	10.0	1.075
86	1694	1710	10.0	1.106
87	1711	1730	10.0	1.141
88	1731	1738	10.0	1.125
89	1739	1757	10.0	1.062
90	1758	1796	8.0	1.149
91	1797	1801	7.0	1.144
92	1802	1814	6.0	1.049
93	1815	1829	10.0	1.155
94	1830	1844	8.0	1.052
95	1845	1854	8.0	1.148
96	1855	1879	9.0	1.032
97	1880	1903	6.0	1.065
98	1904	1910	7.0	1.027
99	1911	1934	10.0	1.148
100	1935	1952	6.0	1.151
101	1953	1957	8.0	1.337
102	1958	1968	6.0	1.321
103	1969	1981	10.0	1.192
104	1982	1994	6.0	1.221
105	1995	2009	5.0	0.588
106	2010	2019	10.0	0.51
107	2020	2041	10.0	0.758
108	2042	2056	8.0	0.529
109	2057	2061	10.0	1.061
110	2062	2091	10.0	1.185
111	2092	2105	10.0	1.25
112	2106	2116	8.0	1.114
113	2117	2128	10.0	1.092
114	2129	2156	10.0	1.034
115	2157	2164	10.0	1.204
116	2165	2228	10.0	1.057
117	2229	2243	10.0	1.062
118	2244	2268	10.0	1.067
119	2269	2316	10.0	1.075
120	2317	2325	10.0	1.253
121	2326	2330	7.0	1.281
122	2331	2336	9.0	1.115
123	2337	2357	8.0	1.033
124	2358	2408	10.0	1.096
125	2409	2433	10.0	1.002
126	2434	2445	5.0	1.139
127	2446	2462	10.0	1.031
128	2463	2473	9.0	1.131
129	2474	2491	9.0	1.17
130	2492	2529	10.0	1.095
131	2530	2544	10.0	1.095
132	2545	2559	5.0	1.039
133	2560	2594	10.0	1.072
134	2595	2610	10.0	1.181
135	2611	2624	6.0	1.171
136	2625	2686	10.0	1.06
137	2687	2699	9.0	1.079
138	2700	2707	10.0	1.196
139	2708	2715	8.0	0.987
140	2716	2746	10.0	1.234
141	2747	2752	8.0	1.19
142	2753	2771	10.0	1.054
143	2772	2782	6.0	1.076
144	2783	2795	10.0	1.182
145	2796	2800	7.0	1.194
146	2801	2807	6.0	0.75
147	2808	2815	4.0	1.219
148	2816	2825	5.0	1.215
149	2826	2830	5.0	0.949
150	2831	2840	7.0	1.182
151	2841	2848	7.0	0.859
152	2849	2853	8.0	0.82
153	2854	2859	10.0	1.255
154	2860	2864	6.0	1.244
155	2865	2871	4.0	0.676
156	2872	2883	8.0	0.624
157	2884	2891	10.0	1.109
158	2892	2959	10.0	1.17
159	2960	2964	7.0	1.112
160	2965	2974	10.0	1.243
161	2975	2990	9.0	1.079
162	2991	3012	8.0	1.09
163	3013	3019	6.0	0.515
164	3020	3036	10.0	1.134
165	3037	3043	5.0	1.125
166	3044	3051	10.0	0.953
167	3052	3094	5.0	1.187
168	3095	3104	8.0	1.159
169	3105	3112	10.0	1.192
170	3113	3118	4.0	1.124
171	3119	3124	9.0	0.942
172	3125	3133	8.0	0.983
173	3134	3144	9.0	1.089
174	3145	3156	4.0	1.088
175	3157	3164	5.0	1.377
176	3165	3170	10.0	0.598
177	3171	3176	5.0	1.451
178	3177	3183	10.0	1.088
